product_code,description,stock_qty,avg,total_stock,main_bin,alt_bin_1,alt_bin_2,alt_bin_3,bin_group
125254,MBS 1/2'' DR SOCKET SET 24pcs,1.0,470.0,470.0,029,,,,029
128043,MASON WOOD CHISEL 6mm SFT HNDL HB-0295,5.0,26.69,133.45,029,,,,029
130690,TORK SCREWDRIVER SET 4PC BLACK - KT2554,2.0,39.0,78.0,029,,,,029
130847,URBAN SPANNER RAISED NECK 09MM CZ-A/09MM,2.0,11.99,23.98,029,,,,029
130973,BRENTWOOD RATCHET BRACE 4 JAW x 250mm,3.0,139.99,419.97,029,,,,029
131263,MULTI-SHARP DIAMOND TOOL SHARPENER 3500,2.0,125.0,250.0,029,,,,029
131458,URBAN SPANNER RAISED NECK 15MM CZ-A/15MM,2.0,16.99,33.98,029,,,,029
131816,MBS STANLEY BLADE 10PCS JF-01,5.0,8.12,40.6,029,,,,029
132674,KAKU WOOD CHISEL 16MM IBH066,4.0,23.0,92.0,029,,,,029
132677,HAR PIPE WRENCH 350MM 14'' IBH101,2.0,69.99,139.98,029,,,,029
132679,HAR WRECKING BAR 450MM IBH098,4.0,28.26,113.04,029,,,,029
132680,KAKU WOOD CHISEL 18MM IBH067,4.0,24.0,96.0,029,,,,029
132681,KAKU WOOD CHISEL 24MM IBH068,6.0,25.0,150.0,029,,,,029
132683,SMASH SIDE CUTTER 250MM IBH064,2.0,39.13,78.26,029,,,,029
132983,HAR UTILITY KNIFE RUBBER HANDLE UKR,3.0,6.2,18.6,029,,,,029
134354,HAR ALUMINIUM ALLOY KNIFE,13.0,16.22,210.86,029,,,,029
134356,BLADES 10PCS PER PACK JF-01,2.0,8.12,16.24,029,,,,029
134962,SCREWDRIVER FLAT BRUNO 125MM HJB/125MM,3.0,18.19,54.57,029,,,,029
138664,TORK TUBE SPANNER 8MM X 9MM X110MM TC848,3.0,12.09,36.27,029,,,,029
138665,TORK TUBE SPANNER 7PC SET TC84007,1.0,111.0,111.0,029,,,,029
138666,TORK TUBE SPANNER 12MM X 13MM X140MM TC8,1.0,15.63,15.63,029,,,,029
138667,TORK TUBE SPANNER 14MM X 15MM X145MM TC8,2.0,17.43,34.86,029,,,,029
138668,TORK TUBE SPANNER 16MM X17MM X155MM TC84,2.0,22.32,44.64,029,,,,029
138669,TORK TUBE SPANNER 18MM X19MM X165MM TC84,2.0,27.66,55.32,029,,,,029
138670,TORK TUBE SPANNER 20MM X22MM X170MM TC84,1.0,35.04,35.04,029,,,,029
138671,TORK TUBE SPANNER 21MM X22MM X175MM TC84,2.0,35.04,70.08,029,,,,029
138717,BRENTWOOD COMBINATION SPANNER 12MM BRCSI,5.0,10.5,52.5,029,,,,029
138718,BRENTWOOD COMBINATION SPANNER 13MM BRCSI,1.0,11.1,11.1,029,,,,029
138719,BRENTWOOD COMBINATION SPANNER 14MM BRCSI,2.0,12.45,24.9,029,,,,029
138720,BRENTWOOD COMBINATION SPANNER 17MM BRCSI,3.0,16.4,49.2,029,,,,029
138721,BRENTWOOD COMBINATION SPANNER 19MM BRCSI,3.0,18.7,56.1,029,,,,029
138722,BRENTWOOD COMBINATION SPANNER 21MM BRCSI,3.0,23.34,70.02,029,,,,029
101317,KAKU AXE WOODEN HANDLE 500G IBH086,1.0,46.5,46.5,030,,,,030
106126,MBS PIPE WRENCH 10'' 25CM RUBBER HANDLE,3.0,50.0,150.0,030,,,,030
108427,MBS PIPE WRENCH 12'' 30CM RUBBER HANDLE,3.0,66.09,198.27,030,,,,030
121256,BRUNO DIAGONAL PLIERS 17.5CM T1011F/17.5,2.0,51.79,103.58,030,,,,030
124897,"MBS PLIER SET 3PCS 6""/6""/8""",2.0,55.0,110.0,030,,,,030
128771,"HAR COMBINATION PLIERS 8"" IBH060",6.0,42.0,252.0,030,,,,030
130201,BRUNO DIAGONAL PLIERS 15CM T1011F/15CM,2.0,47.99,95.98,030,,,,030
131040,OMEGA MITRE BOX PLASTIC YELLOW OMMB,1.0,59.5,59.5,030,,,,030
132682,SMASH LONG NOSE PLIER 200MM IBH062,3.0,34.78,104.34,030,,,,030
133077,"HAR COMBINATION PLIERS 6"" IBH058",6.0,34.35,206.1,030,,,,030
133078,SMASH LONG NOSE PLIER 150MM IBH061,2.0,34.5,69.0,030,,,,030
133079,SMASH SIDE CUTTER PLIER 150MM IBH063,3.0,35.0,105.0,030,,,,030
133082,HAR TIN SNIP 300MM TS300,2.0,45.0,90.0,030,,,,030
133083,HAR VICEGRIP PLIER 250MM STEEL HNDL,3.0,42.0,126.0,030,,,,030
133263,HAR TIN SNIP 250MM TS250,3.0,40.0,120.0,030,,,,030
133507,MTS 43PCS STORAGE ORGANISATION SYSTEM,2.0,546.6,1093.2,030,,,,030
134954,ELECTRICIAN SCREWDRIVER HJ026-B,9.0,30.09,270.81,030,,,,030
